make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
Audi A1,Sedans,27650,10,85,Used,"Cloth, Grey",0.999,BENZINE,4,2,2,2019.0,White,4.0,5,Automatic,4.8,5.9,110
Audi A1,Compact,12750,75287,66,Used,"Cloth, Black",1.422,DIESEL,10,1,13,2016.0,White,5.0,4,Manual,4.1,4.6,109
Opel Astra,Station wagon,33950,0,147,New,"Full leather, Black",1.598,BENZINE,25,5,21,2019.0,Black,5.0,5,Automatic,6.5,8.5,149
Audi A1,Compact,15249,12642,70,Used,"Velour, Black",1.0,BENZINE,2,1,5,2017.0,Silver,5.0,4,Manual,4.2,5.0,97
Renault Espace,Van,34990,12611,118,Used,Other,1.598,DIESEL,12,1,13,2018.0,Beige,5.0,5,Automatic,4.7,5.1,120
Opel Corsa,Compact,11490,28913,66,Used,"Cloth, Black",1.398,BENZINE,11,1,10,2017.0,Blue,5.0,5,Automatic,4.9,6.2,116
Opel Insignia,Station wagon,23690,0,103,New,Other,1.49,BENZINE,19,1,69,2019.0,Black,5.0,5,Manual,5.0,7.0,133
Audi A3,Sedans,15020,79403,92,Used,Other,1.4,BENZINE,19,1,69,2016.0,White,4.0,5,Manual,3.8,4.3,117
Opel Insignia,Station wagon,22980,27807,121,Used,"Cloth, Black",1.49,BENZINE,21,5,19,2018.0,Grey,5.0,5,Automatic,6.1,7.5,138
Audi A3,Sedans,21500,35000,85,Used,"Cloth, Black",1.598,DIESEL,16,2,14,2017.0,Grey,4.0,5,Automatic,3.9,4.1,103
Audi A1,Compact,16100,23687,51,Used,Black,0.999,BENZINE,12,2,12,2018.0,Grey,5.0,5,Manual,4.3,5.0,98
Audi A3,Other,22500,25760,85,Employee's car,"Cloth, Black",1.598,DIESEL,14,2,14,2018.0,Black,4.0,5,Automatic,3.8,4.3,99
Opel Astra,Station wagon,19940,5911,110,Employee's car,"Part leather, Black",1.399,BENZINE,20,4,17,2019.0,Black,5.0,5,Automatic,5.4,7.1,124
Renault Espace,Van,24850,98877,118,Used,"Full leather, Black",1.598,DIESEL,23,4,15,2016.0,Grey,5.0,5,Automatic,4.6,5.0,123
Opel Insignia,Station wagon,36450,10,154,Pre-registered,"Full leather, Black",2.0,DIESEL,26,7,19,2019.0,Black,5.0,5,Automatic,7.1,9.6,187
Opel Insignia,Station wagon,19750,25681,121,Employee's car,"Cloth, Black",1.49,BENZINE,23,4,17,2018.0,Grey,5.0,5,Manual,5.8,7.5,133
Opel Astra,Station wagon,30887,15,110,New,"Cloth, Black",1.398,BENZINE,21,2,16,2019.0,Grey,5.0,5,Automatic,5.7,7.3,134
Audi A1,Compact,22400,0,70,New,"Cloth, Black",0.999,BENZINE,13,3,14,2019.0,Black,5.0,5,Manual,4.7,5.9,106
Opel Insignia,Station wagon,15600,60000,100,Used,Other,1.598,DIESEL,14,1,9,2016.0,Black,5.0,5,Automatic,5.1,6.5,134
Opel Astra,Sedans,18900,24100,110,Used,"Cloth, Black",1.399,BENZINE,20,6,17,2018.0,Brown,4.0,5,Automatic,5.4,7.1,124
Renault Clio,Compact,15928,100,88,Used,Cloth,1.197,BENZINE,13,1,9,2018.0,Red,5.0,5,Automatic,5.4,6.8,120
Opel Corsa,Other,13990,13307,66,Used,Other,1.398,BENZINE,5,1,9,2018.0,Silver,4.0,5,Automatic,4.7,5.8,110
Opel Corsa,Compact,11490,63600,66,Used,"Cloth, Black",1.398,BENZINE,17,4,16,2016.0,Green,5.0,5,Automatic,4.7,5.8,110
Opel Astra,Station wagon,14900,25963,100,Employee's car,"Part leather, Other",1.598,DIESEL,10,1,11,2018.0,Silver,5.0,5,Manual,3.9,4.7,104
Opel Corsa,Sedans,7490,19651,51,Used,Cloth,1.229,BENZINE,4,1,12,2016.0,Blue,4.0,5,Manual,5.4,6.7,126
Audi A3,Sedans,24200,10,85,Pre-registered,Other,1.598,DIESEL,3,1,11,2019.0,Black,4.0,5,Manual,4.0,4.5,106
Opel Insignia,Station wagon,14990,64000,100,Used,Black,1.598,DIESEL,18,6,20,2016.0,Black,5.0,5,Automatic,5.4,6.9,142
Audi A3,Station wagon,17900,45700,85,Used,"Cloth, Black",1.598,DIESEL,17,3,16,2018.0,Grey,5.0,5,Manual,4.2,4.7,109
Opel Astra,Sedans,12130,28588,81,Used,"Other, Other",1.598,DIESEL,10,1,14,2017.0,Silver,4.0,5,Manual,3.4,3.9,93
Opel Insignia,Station wagon,29995,1,147,Pre-registered,"Full leather, Black",1.598,BENZINE,27,6,19,2019.0,Brown,5.0,5,Automatic,6.5,10.2,172
Opel Corsa,Compact,16850,10,66,Pre-registered,"Cloth, Black",1.398,BENZINE,15,3,14,2019.0,Black,5.0,5,Automatic,6.0,7.8,140
Audi A1,Compact,16440,22680,66,Used,"Other, Black",1.422,DIESEL,17,3,14,2018.0,Black,5.0,5,Manual,4.1,4.6,109
Opel Astra,Station wagon,10900,158946,81,Used,Other,1.598,DIESEL,15,3,13,2016.0,Blue,5.0,5,Manual,3.7,4.0,95
Opel Insignia,Station wagon,10949,172357,100,Used,"Cloth, Black",1.598,DIESEL,17,6,16,2016.0,White,5.0,5,Automatic,5.1,6.5,134
Renault Clio,Sedans,9490,84496,55,Used,Other,1.461,DIESEL,5,1,7,2017.0,White,4.0,5,Manual,3.3,3.5,85
Audi A1,Compact,19875,13011,92,Used,"Cloth, Grey",1.395,BENZINE,17,3,14,2018.0,Silver,5.0,5,Automatic,4.9,6.2,112
Opel Astra,Sedans,10750,62000,85,Used,"Part leather, Black",1.598,BENZINE,15,2,13,2016.0,Brown,4.0,5,Manual,6.7,8.9,158
Opel Corsa,Compact,8800,24465,55,Used,"Cloth, Black",1.398,BENZINE,7,1,15,2018.0,Silver,5.0,5,Manual,5.8,7.4,133
Opel Astra,Sedans,14990,16950,92,Used,"Cloth, Black",1.399,BENZINE,9,2,13,2018.0,Green,4.0,5,Manual,5.4,7.1,124
Opel Corsa,Compact,13440,6138,66,Employee's car,"Cloth, Black",1.398,BENZINE,14,4,14,2018.0,Blue,5.0,5,Automatic,4.8,5.9,112
Audi A1,Compact,20980,9900,70,Employee's car,"Cloth, Black",0.999,BENZINE,13,3,16,2019.0,Black,5.0,5,Manual,4.6,5.9,105
Renault Clio,Sedans,15200,3500,66,Employee's car,Other,1.461,DIESEL,8,1,10,2018.0,Black,4.0,5,Automatic,3.5,3.9,92
Audi A3,Station wagon,15850,43424,81,Used,"Cloth, Other",1.197,BENZINE,4,1,10,2016.0,White,5.0,5,Manual,4.9,6.2,116
Audi A3,Sedans,10950,122189,81,Used,"Cloth, Black",1.598,DIESEL,17,1,11,2016.0,Black,4.0,5,Manual,3.8,4.3,99
Audi A1,Sedans,20900,24350,92,Used,Black,1.598,BENZINE,12,1,5,2018.0,Brown,4.0,5,Automatic,3.9,4.5,117
Renault Clio,Sedans,9999,13333,54,Used,"Cloth, Black",1.149,BENZINE,8,1,13,2018.0,White,4.0,5,Manual,5.6,7.2,133
Opel Insignia,Sedans,28001,0,147,New,Other,1.598,BENZINE,19,1,69,2019.0,Grey,4.0,5,Automatic,6.0,7.0,147
Opel Astra,Sedans,13900,35616,92,Employee's car,Other,1.399,BENZINE,2,1,5,2018.0,Black,4.0,5,Manual,5.1,6.3,133
Audi A3,Sedans,17800,114230,81,Used,"Cloth, Grey",1.395,CNG,13,3,15,2016.0,White,4.0,5,Semi-automatic,4.4,5.2,94
Audi A1,Sedans,15900,40000,85,Used,Other,1.598,DIESEL,4,1,7,2016.0,White,4.0,4,Automatic,3.8,4.4,99
Opel Astra,Station wagon,18070,1,92,New,Other,1.399,BENZINE,11,1,11,2019.0,White,5.0,5,Manual,5.5,6.8,127
Opel Corsa,Compact,14790,5,66,New,"Cloth, Black",1.398,BENZINE,15,3,14,2019.0,Red,5.0,5,Automatic,6.0,7.8,140
Opel Insignia,Sedans,40990,15,147,New,"alcantara, Black",1.599,BENZINE,26,2,20,2019.0,White,4.0,5,Manual,6.3,8.0,145
Opel Astra,Station wagon,8980,117766,100,Used,"Part leather, Grey",1.598,DIESEL,13,3,9,2016.0,Black,5.0,5,Manual,4.5,5.7,119
