,Unnamed: 0,make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
119,119,Audi A1,Compact,18750,20306,70,Employee's car,_Black,0.999,BENZINE,15,2,12,2018.0,White_,5,4,Automatic,4.4,5.4,102
120,120,Audi A1,Compact,18730,1,85,New,Velour,0.999,BENZINE,6,1,9,2019.0,Yellow,5,5,Automatic,4.8,5.8,108
121,121,Audi A1,Sedans,18700,27000,85,Employee's car,_Grey,1.598,DIESEL,11,1,12,2016.0,Grey_,4,4,Automatic,3.7,4.3,97
122,122,Audi A1,Sedans,18690,31750,92,Used,_Black,1.395,BENZINE,18,4,14,2016.0,Black_,4,4,Automatic,4.9,6.2,112
123,123,Audi A1,Sedans,18600,19800,70,Used,_Other,0.999,BENZINE,14,3,16,2017.0,Red,4,4,Automatic,4.4,5.4,102
124,124,Audi A1,Sedans,18500,52000,85,Used,_Other,1.598,DIESEL,4,2,13,2016.0,White_,4,4,Automatic,4.0,4.6,105
125,125,Audi A1,Sedans,18500,15500,70,Used,_Black,0.999,BENZINE,16,5,14,2018.0,Grey_,4,5,Automatic,4.4,5.4,102
126,126,Audi A1,Compact,18620,25977,92,Used,_Grey,1.395,BENZINE,17,2,15,2016.0,Black_,5,5,Automatic,5.0,6.2,113
127,127,Audi A1,Sedans,18500,9000,70,Used,_Black,0.999,BENZINE,17,2,13,2017.0,Black_,4,5,Automatic,4.4,5.4,102
128,128,Audi A1,Sedans,18500,65000,66,Used,_Other,1.422,DIESEL,3,1,7,2017.0,Blue_,4,4,Automatic,3.8,4.3,99
129,129,Audi A1,Sedans,18500,14493,85,Used,_Other,1.598,DIESEL,3,1,13,2018.0,White_,4,5,Automatic,4.0,4.6,105
130,130,Audi A1,Sedans,18500,33500,92,Used,_Grey,1.395,BENZINE,15,3,14,2017.0,Red,4,5,Automatic,4.9,6.2,112
131,131,Audi A1,Compact,18333,4800,70,Employee's car,_Grey,0.999,BENZINE,11,3,13,2018.0,Black_,5,4,Automatic,4.4,5.4,102
132,132,Audi A1,Compact,18350,51000,70,Used,_Black,0.999,BENZINE,6,1,6,2016.0,Grey_,5,4,Automatic,4.4,5.4,103
133,133,Audi A1,Sedans,18349,7307,70,Used,_Black,0.999,BENZINE,17,2,11,2017.0,Black_,4,4,Automatic,4.4,5.2,104
134,134,Audi A1,Compact,18333,4800,70,Employee's car,_Grey,0.999,BENZINE,11,3,13,2018.0,Black_,5,4,Automatic,4.4,5.4,102
135,135,Audi A1,Compact,18333,5500,70,Employee's car,_Grey,0.999,BENZINE,11,3,13,2018.0,Black_,5,4,Automatic,4.4,5.4,102
136,136,Audi A1,Sedans,18300,35500,66,Used,_Black,1.422,DIESEL,13,3,11,2018.0,Silver,4,4,Automatic,4.0,4.5,104
137,137,Audi A1,Sedans,18300,18000,92,Used,_Blue,1.395,BENZINE,14,2,12,2017.0,Blue_,4,5,Automatic,4.9,6.2,112
138,138,Audi A1,Sedans,18290,40000,92,Used,_Other,1.395,BENZINE,9,2,8,2017.0,Blue_,4,4,Automatic,4.9,6.2,112
139,139,Audi A1,Sedans,18250,14551,85,Employee's car,_Other,1.598,DIESEL,6,1,10,2018.0,Silver,4,4,Automatic,4.0,4.6,105
140,140,Audi A1,Sedans,18200,16500,85,Used,_Black,1.395,DIESEL,22,6,24,2018.0,Black_,4,5,Automatic,3.7,4.3,117
141,141,Audi A1,Compact,18185,26700,85,Used,_Black,1.598,DIESEL,17,4,14,2016.0,Black_,5,5,Automatic,3.8,4.4,99
142,142,Audi A1,Sedans,18150,8000,70,Used,_Other,0.999,BENZINE,16,2,14,2017.0,Beige,4,4,Automatic,4.4,5.4,102
143,143,Audi A1,Compact,18000,15000,85,Used,_Grey,1.598,DIESEL,11,3,16,2018.0,Grey_,5,4,Automatic,3.8,4.6,99
