,make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
2004,AudiA1,Sedans,26930,5000,85,Employee'scar,Partleather-Black,0.999,BENZINE,13,4,15,2019.0,Grey,4.0,5,Automatic,4.8,5.9,110
2005,AudiA1,Compact,27380,0,85,New,Cloth-Black,0.999,BENZINE,15,4,18,2019.0,Grey,5.0,5,Automatic,4.9,5.9,111
2006,AudiA1,Compact,26680,0,85,New,Cloth-Black,0.999,BENZINE,16,4,18,2019.0,Grey,5.0,5,Automatic,4.8,5.9,110
2007,AudiA1,Compact,26990,1000,85,Demonstration,Cloth-Black,0.999,BENZINE,10,1,8,2019.0,Black,5.0,5,Automatic,4.8,5.9,110
2008,AudiA1,Sedans,26990,0,85,New,Cloth-Other,0.999,BENZINE,8,1,11,2019.0,White,4.0,4,Automatic,4.8,5.8,108
2009,AudiA1,Sedans,26990,0,85,New,Cloth-Black,0.999,BENZINE,12,1,14,2019.0,Blue,4.0,5,Automatic,4.8,5.8,108
2010,AudiA1,Compact,26990,10,85,New,Cloth-Black,0.999,BENZINE,13,2,18,2019.0,White,5.0,5,Automatic,4.9,5.9,111
2011,AudiA1,Compact,26980,2998,85,Demonstration,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,Black,5.0,5,Automatic,4.9,5.9,111
2012,AudiA1,Compact,26980,0,85,New,Cloth-Grey,0.999,BENZINE,14,3,17,2019.0,White,5.0,5,Automatic,4.9,5.9,111
2013,AudiA1,Sedans,26990,20,85,Pre-registered,Cloth-Black,0.999,BENZINE,14,2,12,2019.0,Grey,4.0,5,Automatic,4.8,5.8,108
2014,AudiA1,Compact,26980,0,85,New,Cloth-Grey,0.999,BENZINE,14,3,17,2019.0,Grey,5.0,5,Automatic,4.9,5.9,111
2015,AudiA1,Compact,26980,0,85,New,Cloth-Black,0.999,BENZINE,16,3,17,2019.0,Blue,5.0,5,Automatic,4.8,5.9,110
2016,AudiA1,Compact,26980,2998,85,Demonstration,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,White,5.0,5,Automatic,4.9,5.9,111
2017,AudiA1,Compact,26980,2998,85,Demonstration,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,White,5.0,5,Automatic,4.9,5.9,111
2018,AudiA1,Compact,26980,0,85,New,Cloth-Black,0.999,BENZINE,16,3,17,2019.0,White,5.0,5,Automatic,4.8,5.9,110
2019,AudiA1,Compact,26980,2998,85,Demonstration,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,Black,5.0,5,Automatic,4.9,5.9,111
2020,AudiA1,Compact,26980,2998,85,Demonstration,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,Black,5.0,5,Automatic,4.9,5.9,111
2021,AudiA1,Compact,26980,0,85,New,Cloth-Grey,0.999,BENZINE,14,3,17,2019.0,Grey,5.0,5,Automatic,4.9,5.9,111
2022,AudiA1,Sedans,26900,150,85,Employee'scar,Cloth-Black,0.999,BENZINE,7,4,13,2019.0,Red,4.0,5,Automatic,4.8,5.9,110
2023,AudiA1,Compact,26900,3900,85,Demonstration,Other,0.999,BENZINE,13,2,12,2019.0,Black,5.0,5,Automatic,4.8,5.9,110
2024,AudiA1,Compact,26900,1500,85,Demonstration,Cloth-Grey,0.999,BENZINE,17,3,14,2019.0,Blue,5.0,5,Automatic,4.8,5.9,110
2025,AudiA1,Other,26900,2000,85,Demonstration,Cloth-Black,0.999,BENZINE,15,6,15,2019.0,Grey,4.0,5,Automatic,4.8,5.8,108
2026,AudiA1,Sedans,26900,10,85,Pre-registered,Cloth-Black,0.999,BENZINE,11,1,15,2019.0,Red,4.0,5,Automatic,4.8,5.9,108
2027,AudiA1,Sedans,26890,12,85,Used,Other,0.999,BENZINE,18,5,22,2019.0,White,4.0,5,Automatic,4.8,5.9,110
2028,AudiA1,Sedans,26890,12,85,Used,Other,0.999,BENZINE,18,5,22,2019.0,White,4.0,5,Automatic,4.8,5.9,110
2029,AudiA1,Sedans,26890,12,85,Used,Other,0.999,BENZINE,18,5,22,2019.0,White,4.0,5,Automatic,4.8,5.9,110
2030,AudiA1,Sedans,26890,15,85,Used,Other,0.999,BENZINE,18,5,22,2019.0,White,4.0,5,Automatic,4.8,5.9,110
2031,AudiA1,Sedans,26850,3000,85,Demonstration,Cloth-Grey,0.999,BENZINE,15,3,12,2019.0,Red,4.0,5,Automatic,4.8,5.9,110
2032,AudiA1,Sedans,26830,5000,85,Employee'scar,Cloth-Black,0.999,BENZINE,10,4,15,2019.0,Black,4.0,5,Automatic,4.8,5.9,110
2033,AudiA1,Sedans,26830,5000,85,Employee'scar,Cloth-Black,0.999,BENZINE,11,4,15,2019.0,Blue,4.0,5,Automatic,4.8,5.9,110
2034,AudiA1,Compact,26890,0,85,New,Cloth-Black,0.999,BENZINE,15,2,16,2019.0,White,5.0,5,Automatic,4.8,5.9,110
2035,AudiA1,Sedans,26800,0,85,Pre-registered,Other,0.999,BENZINE,8,1,11,2019.0,Blue,4.0,4,Automatic,4.8,5.8,108
2036,AudiA1,Sedans,26740,7500,85,Demonstration,Partleather-Black,0.999,BENZINE,19,3,13,2019.0,Red,4.0,5,Automatic,4.9,6.0,116
2037,AudiA1,Sedans,26500,5000,85,Used,Other,0.999,BENZINE,5,1,7,2019.0,Blue,4.0,5,Automatic,4.8,5.9,110
2038,AudiA1,Compact,26494,6900,85,Employee'scar,Cloth-Black,0.999,BENZINE,17,3,18,2019.0,White,5.0,5,Automatic,4.8,5.9,110
2039,AudiA1,Compact,26450,50,85,Pre-registered,Cloth-Grey,0.999,BENZINE,15,4,17,2019.0,Black,5.0,5,Automatic,4.9,5.9,111
2040,AudiA1,Sedans,26500,10,85,Pre-registered,Cloth-Black,0.999,BENZINE,8,2,11,2019.0,Grey,4.0,4,Automatic,4.8,5.8,108
2041,AudiA1,Compact,26450,15,110,Pre-registered,Cloth,1.498,BENZINE,3,1,1,2019.0,White,5.0,5,Automatic,5.1,6.5,115
2042,AudiA1,Compact,26490,0,85,New,Cloth-Black,0.999,BENZINE,15,1,12,2019.0,Yellow,5.0,4,Automatic,4.9,5.9,111
2043,AudiA1,Sedans,26450,0,85,New,Cloth-Black,0.999,BENZINE,10,3,15,2019.0,Black,4.0,5,Automatic,4.8,5.8,108
2044,AudiA1,Sedans,26450,5000,85,Used,Other,0.999,BENZINE,12,1,12,2019.0,White,4.0,5,Automatic,4.8,5.9,108
2045,AudiA1,Sedans,26300,10,85,Pre-registered,Cloth-Other,0.999,BENZINE,10,3,10,2019.0,Grey,4.0,5,Automatic,4.8,5.8,108
2046,AudiA1,Sedans,26300,15,85,Used,Other,0.999,BENZINE,7,2,7,2019.0,Blue,4.0,5,Automatic,4.8,5.9,110
2047,AudiA1,Sedans,26400,30,85,Pre-registered,Cloth-Grey,0.999,BENZINE,14,2,16,2019.0,White,4.0,5,Automatic,4.8,5.8,108
2048,AudiA1,Sedans,26360,547,85,Used,Other,0.999,BENZINE,11,1,11,2019.0,Red,4.0,5,Automatic,4.8,5.9,108
2049,AudiA1,Sedans,25490,3134,85,Used,Other,0.999,BENZINE,12,1,4,2019.0,Red,4.0,5,Automatic,4.8,5.9,108
2050,AudiA1,Compact,26300,10,85,New,Cloth-Black,0.999,BENZINE,6,1,9,2019.0,White,5.0,4,Automatic,4.4,5.4,108
2051,AudiA1,Compact,25490,0,85,New,Cloth,0.999,BENZINE,17,4,13,2019.0,Black,5.0,5,Automatic,4.8,5.8,108
2052,AudiA1,Sedans,26200,1,85,Employee'scar,Cloth-Grey,0.999,BENZINE,9,1,11,2019.0,Red,4.0,5,Automatic,4.8,5.8,108
2053,AudiA1,Sedans,26100,11,85,Pre-registered,Cloth-Black,0.999,BENZINE,17,6,19,2019.0,White,4.0,5,Automatic,4.8,5.8,108
2054,AudiA1,Sedans,26200,50,62,Used,Other,0.999,BENZINE,7,1,7,2019.0,White,4.0,5,Automatic,4.8,5.9,110
2055,AudiA1,Sedans,26100,11,85,Used,Other,0.999,BENZINE,7,1,10,2019.0,Green,4.0,5,Automatic,5.0,6.0,108
2056,AudiA1,Other,25900,10,85,Pre-registered,Cloth-Black,0.999,BENZINE,13,3,18,2019.0,Grey,4.0,5,Automatic,4.8,5.8,108
2057,AudiA1,Sedans,26200,50,62,Used,Other,0.999,BENZINE,7,1,7,2019.0,White,4.0,5,Automatic,4.8,5.9,110
2058,AudiA1,Compact,26130,3050,85,Demonstration,Cloth-Black,0.999,BENZINE,17,3,15,2019.0,Red,5.0,5,Automatic,4.9,6.0,116
2059,AudiA1,Compact,25880,0,85,New,Cloth-Black,0.999,BENZINE,14,2,15,2019.0,Black,5.0,5,Automatic,4.8,5.9,110
2060,AudiA1,Sedans,24700,300,85,Pre-registered,Cloth-Black,0.999,BENZINE,10,3,13,2019.0,White,4.0,5,Automatic,4.8,5.8,108
2061,AudiA1,Compact,26980,0,85,New,Cloth-Grey,0.999,BENZINE,14,3,17,2019.0,White,5.0,5,Automatic,4.9,5.9,111
2062,AudiA1,Sedans,26700,10,85,Pre-registered,Cloth-Other,0.999,BENZINE,4,1,10,2019.0,White,4.0,5,Automatic,4.8,5.8,108
2063,AudiA1,Sedans,24690,164,85,Demonstration,Other,0.999,BENZINE,2,1,5,2019.0,Red,4.0,5,Automatic,4.8,5.9,110
2064,AudiA1,Sedans,26300,15,85,Used,Other,0.999,BENZINE,7,2,7,2019.0,Blue,4.0,5,Automatic,4.8,5.9,110
2065,AudiA1,Sedans,25490,5500,85,Used,Other,0.999,BENZINE,12,1,6,2019.0,Black,4.0,5,Automatic,4.8,5.9,108
2066,AudiA1,Compact,24660,2200,85,Demonstration,Cloth-Black,0.999,BENZINE,16,5,17,2019.0,Red,5.0,4,Automatic,4.8,5.8,108
2067,AudiA1,Compact,25490,2500,85,Used,Cloth-Black,0.999,BENZINE,13,1,12,2019.0,Grey,5.0,4,Automatic,4.8,5.9,110
2068,AudiA1,Compact,25490,5660,85,Used,Cloth-Black,0.999,BENZINE,8,1,8,2019.0,Red,5.0,5,Automatic,4.9,6.0,116
2069,AudiA1,Compact,25200,10,85,Employee'scar,Cloth-Other,0.999,BENZINE,8,1,6,2019.0,Black,5.0,5,Automatic,4.8,5.8,108
2070,AudiA1,Sedans,25400,1,85,Pre-registered,Cloth-Black,0.999,BENZINE,10,1,13,2019.0,White,4.0,5,Automatic,4.8,5.8,108
2071,AudiA1,Sedans,25190,255,85,Used,Other,0.999,BENZINE,11,1,11,2019.0,Blue,4.0,5,Automatic,4.8,5.9,108
2072,AudiA1,Compact,25256,5000,71,Used,Cloth-Black,0.999,BENZINE,12,1,11,2019.0,Grey,5.0,4,Automatic,4.2,5.0,98
2073,AudiA1,Compact,25200,10,85,Employee'scar,Cloth-Other,0.999,BENZINE,8,1,6,2019.0,Black,5.0,5,Automatic,4.8,5.8,108
2074,AudiA1,Sedans,25190,267,85,Used,Other,0.999,BENZINE,11,1,11,2019.0,Red,4.0,5,Automatic,4.8,5.9,108
2075,AudiA1,Compact,26040,0,85,New,Cloth-Black,0.999,BENZINE,15,3,13,2019.0,White,5.0,4,Automatic,4.8,5.9,110
2076,AudiA1,Sedans,26000,3900,85,Used,Other,0.999,BENZINE,14,5,21,2019.0,Grey,4.0,5,Automatic,4.8,5.8,108
2077,AudiA1,Compact,25990,0,85,New,Cloth,0.999,BENZINE,16,4,13,2019.0,Black,5.0,5,Automatic,4.8,5.8,108
2078,AudiA1,Sedans,25990,0,85,New,Cloth-Black,0.999,BENZINE,11,3,17,2019.0,Grey,4.0,4,Automatic,4.8,5.8,108
2079,AudiA1,Sedans,25990,1032,85,Demonstration,Cloth-Grey,0.999,BENZINE,15,2,12,2019.0,Red,4.0,5,Automatic,4.8,5.9,110
2080,AudiA1,Sedans,25900,1990,85,Used,Cloth,0.999,BENZINE,11,1,8,2019.0,White,4.0,5,Automatic,4.8,5.9,108
2081,AudiA1,Sedans,25900,1990,85,Used,Other,0.999,BENZINE,12,1,11,2019.0,White,4.0,5,Automatic,4.8,5.9,108
2082,AudiA1,Other,25900,6700,85,Demonstration,Cloth-Black,0.999,BENZINE,14,4,17,2019.0,Blue,4.0,5,Automatic,4.8,5.8,108
2083,AudiA1,Sedans,25900,3000,85,Used,Other,0.999,BENZINE,5,1,7,2019.0,Black,4.0,5,Automatic,4.8,5.9,110
2084,AudiA1,Sedans,25900,55,85,Pre-registered,Cloth-Grey,0.999,BENZINE,16,2,16,2019.0,White,4.0,5,Automatic,4.8,5.8,108
2085,AudiA1,Sedans,25900,10,85,Pre-registered,Cloth-Black,0.999,BENZINE,12,2,16,2019.0,Grey,4.0,5,Automatic,4.8,5.8,108
2086,AudiA1,Sedans,25900,1,70,Pre-registered,Cloth-Black,0.999,BENZINE,3,1,9,2019.0,Grey,4.0,5,Automatic,4.6,5.8,104
2087,AudiA1,Compact,25800,1,85,Pre-registered,Cloth-Black,0.999,BENZINE,12,1,13,2019.0,Grey,5.0,5,Automatic,4.8,5.8,108
2088,AudiA1,Sedans,25800,0,85,New,Cloth-Other,0.999,BENZINE,12,3,17,2019.0,Red,4.0,5,Automatic,4.8,5.8,108
2089,AudiA1,Compact,25780,8000,85,Employee'scar,Cloth-Black,0.999,BENZINE,17,2,18,2019.0,White,5.0,5,Automatic,4.8,5.8,110
2090,AudiA1,Compact,25750,0,85,New,Cloth-Black,0.999,BENZINE,16,1,13,2019.0,White,5.0,4,Automatic,4.8,5.9,110
2091,AudiA1,Sedans,25700,10,85,Pre-registered,Cloth-Black,0.999,BENZINE,8,2,11,2019.0,Black,4.0,4,Automatic,4.8,5.8,108
2092,AudiA1,Compact,25690,6100,85,Used,Cloth-Black,0.999,BENZINE,17,4,17,2019.0,White,5.0,5,Automatic,4.8,5.9,110
